VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Duration
1,1/15/2015 10:26,1/15/2015 10:35,1,0.7,-73.98516846,40.75121307,1,N,-73.97951508,40.7618866,cash,7.5,0,0.5,0,0,0.3,8.3,0:09
1,1/15/2015 10:26,1/15/2015 10:33,1,0.3,-73.98387146,40.74245453,1,N,-73.98730469,40.74406052,cash,6,0,0.5,0,0,0.3,6.8,0:07
1,1/15/2015 10:26,1/15/2015 10:36,1,1.4,-73.96815491,40.76235962,1,N,-73.98164368,40.74707031,credit card,8,0,0.5,1.2,0,0.3,10,0:10
1,1/15/2015 10:26,1/15/2015 10:32,1,1.2,-74.00554657,40.72677612,1,N,-74.01348114,40.71365738,credit card,6.5,0,0.5,1.45,0,0.3,8.75,0:06
1,1/15/2015 10:26,1/15/2015 11:08,2,12.6,-73.86273956,40.7688446,1,N,-73.98956299,40.75883865,cash,40,0,0.5,0,5.33,0.3,46.13,0:42
1,1/15/2015 10:26,1/15/2015 10:26,2,0,-73.98765564,40.74364471,5,N,-73.98748779,40.7434845,credit card,60,0,0,15,0,0.3,75.3,0:00
1,1/15/2015 10:26,1/15/2015 10:27,1,0,-73.94652557,40.7449913,1,N,-73.94652557,40.7449913,cash,3,0,0.5,0,0,0.3,3.8,0:01
2,1/7/2015 14:58,1/7/2015 15:05,1,1.08,-73.98810577,40.7690506,1,N,-73.98151398,40.75934601,credit card,6.5,0,0.5,1.62,0,0.3,8.92,0:07
2,1/7/2015 14:58,1/7/2015 15:10,2,1.58,-73.98195648,40.76926041,1,N,-73.97346497,40.78977585,credit card,9.5,0,0.5,1,0,0.3,11.3,0:12
2,1/7/2015 14:58,1/7/2015 15:04,1,0.96,-73.96585846,40.79052353,1,N,-73.95323944,40.78548813,credit card,6.5,0,0.5,1.95,0,0.3,9.25,0:06
2,1/7/2015 14:58,1/7/2015 15:02,1,0.77,-73.996521,40.7256813,1,N,-73.98903656,40.73068619,credit card,5,0,0.5,1,0,0.3,6.8,0:04
2,1/7/2015 14:58,1/7/2015 15:06,1,0.98,-73.94869232,40.77778244,1,N,-73.95528412,40.78686905,credit card,7,0,0.5,1.4,0,0.3,9.2,0:08
2,1/7/2015 14:58,1/7/2015 15:02,2,0.79,-73.96013641,40.65699768,1,N,-73.94686127,40.65715408,cash,5,0,0.5,0,0,0.3,5.8,0:04
2,1/7/2015 14:58,1/7/2015 15:12,3,4.39,-73.98866272,40.72270584,1,N,-73.98722076,40.69440842,cash,15.5,0,0.5,0,0,0.3,16.3,0:14
2,1/7/2015 14:58,1/7/2015 15:24,1,3.37,-73.9641037,40.76785278,1,N,-73.99427032,40.74523544,credit card,18,0,0.5,3.6,0,0.3,22.4,0:26
2,1/7/2015 14:58,1/7/2015 15:16,1,1.53,-73.95317841,40.7827301,1,N,-73.95329285,40.7665329,credit card,12,0,0.5,2.4,0,0.3,15.2,0:18
2,1/7/2015 14:58,1/7/2015 15:16,6,11.4,-73.78215027,40.64471054,1,N,-73.86286926,40.76715851,credit card,31.5,0,0.5,6.3,0,0.3,38.6,0:18
2,1/7/2015 14:58,1/7/2015 15:07,2,1.46,-73.98213196,40.76839066,1,N,-73.99198151,40.74945068,cash,8,0,0.5,0,0,0.3,8.8,0:09
